Tender_ID,Address,Schedule,Quantity,Description,Document_Iframe_Link,View_Link
P48902,"PIMS Hospital, Sector G-8/3., Islamabad Capital Territory",5 Days,15000,Calcium gluconate,N/A,https://vendors.epads.gov.pk/federal/procurements/view/48902
P48905,"PIMS Hospital, Sector G-8/3., Islamabad Capital Territory",7 Days,2,Biometric machine,N/A,https://vendors.epads.gov.pk/federal/procurements/view/48905
P49505,"51 J-III, Johar Town, Lahore City, Lahore (District), Lahore Division (Division), Punjab (Province).",3 Days,6000,Disposable Glass,N/A,https://vendors.epads.gov.pk/federal/procurements/view/49505
P49106,"Admin Block, New Campus, Sector H-10., Islamabad Capital Territory",Days 15,130,N/A,N/A,https://vendors.epads.gov.pk/federal/procurements/view/49106
P49121,"Admin Block, New Campus, Sector H-10., Islamabad Capital Territory",Days 15,60,N/A,N/A,https://vendors.epads.gov.pk/federal/procurements/view/49121
P49160,"Admin Block, New Campus, Sector H-10., Islamabad Capital Territory",Days 15,40,N/A,N/A,https://vendors.epads.gov.pk/federal/procurements/view/49160
P49385,"51 J-III, Johar Town, Lahore City, Lahore (District), Lahore Division (Division), Punjab (Province).",5 Days,1,N/A,N/A,https://vendors.epads.gov.pk/federal/procurements/view/49385
P49475,"51 J-III, Johar Town, Lahore City, Lahore (District), Lahore Division (Division), Punjab (Province).",23 Days,"1
Terms of Reference (TORs)
social media marketing
Eligibility Criteria Summary
Download PDF
ELIGIBILITY CRITERIA
Services Acquired for Social Media Marketing
P49475
Pakistan Institute of Fashion and Design (Pakistan Institute of Fashion and Design) , 51 J-III, Johar Town
Bidder'S Type
Individual / Individual Consultant
Partnership Firm
Company (Private Limited)
Required Registration
NADRA CITIZENSHIP (CNIC/NICOP)
FBR (NTN)
Punjab (PRA)
Eligibility Criteria Document
The Bidder Must Attached The Required Documents I.E. CNIC, Active Taxpayer List/Status Or Registration Certificate. The Brand Or Model Must Be Mentioned By The Bidder/Vendor. In Case Of Non Submission Of The Required Documents, The Applicant/Bidder May Be Disqualified. If The Delivery Is Not Made With In The Stipulated Period Of Time, The Penalty Will Be Imposed @ 1% Per Day For Max 7 Days. Strick Adherence Is Required To Specification Mentioned. Only Lahore Based Bidders/Vendors Can Be App
The Company Who Have The Previous Social Media Marketing Experience, Can Be Apply. (Kindly Attached 2 Or 3 Purchase / Work Orders.)Only Private Limited Firm May Be Preferred.
Powered by Federal Public Procurement Regulatory Authority © 2026",Social Media Marketing for Admission 2026,N/A,https://vendors.epads.gov.pk/federal/procurements/view/49475
P44258,"National Veterinary Laboratory (NVL) NARC Gate No.02, Park Road, Islamabad, Islamabad Capital Territory",3Days,60,N/A,N/A,https://vendors.epads.gov.pk/federal/procurements/view/44258
P49100,"PTV News Center, Islamabad, Islamabad Capital Territory",03Days,02,N/A,N/A,https://vendors.epads.gov.pk/federal/procurements/view/49100
